infinitive	Infinitive translation	subject	present	simple past	imperfect	future	conditional
abitare	to live	I	abito	ho abitato	abitavo	abiterò	abiterei
abitare	to live	you	abiti	hai abitato	abitavi	abiterai	abiteresti
abitare	to live	he/she	abita	ha abitato	abitava	abiterà	abiterebbe
abitare	to live	we	abitiamo	abbiamo abitato	abitavamo	abiteremo	abiteremmo
abitare	to live	you (plural)	abitate	avete abitato	abitavate	abiterete	abitereste
abitare	to live	they	abitano	hanno abitato	abitavano	abiteranno	abiterebbero
andare	to go	I	vado	sono andato/a	andavo	andrò	andrei
andare	to go	you	vai	sei andato/a	andavi	andrai	andresti
andare	to go	he/she	va	è andato/a	andava	andrà	andrebbe
andare	to go	we	andiamo	siamo andati/e	andavamo	andremo	andremmo
andare	to go	you (plural)	andate	siete andati/e	andavate	andrete	andreste
andare	to go	they	vanno	sono andati/e	andavano	andranno	andrebbero
avere	to have	I	ho	ho avuto	avevo	avrò	avrei
avere	to have	you	hai	hai avuto	avevi	avrai	avresti
avere	to have	he/she	ha	ha avuto	aveva	avrà	avrebbe
avere	to have	we	abbiamo	abbiamo avuto	avevamo	avremo	avremmo
avere	to have	you (plural)	avete	avete avuto	avevate	avrete	avreste
avere	to have	they	hanno	hanno avuto	avevano	avranno	avrebbero
capire	to understand	I	capisco	ho capito	capivo	capirò	capirei
capire	to understand	you	capisci	hai capito	capivi	capirai	capiresti
capire	to understand	he/she	capisce	ha capito	capiva	capirà	capirebbe
capire	to understand	we	capiamo	abbiamo capito	capivamo	capiremo	capiremmo
capire	to understand	you (plural)	capite	avete capito	capivate	capirete	capireste
capire	to understand	they	capiscono	hanno capito	capivano	capiranno	capirebbero
conoscere	to know	I	conosco	ho conosciuto	conoscevo	conoscerò	conoscerei
conoscere	to know	you	conosci	hai conosciuto	conoscevi	conoscerai	conosceresti
conoscere	to know	he/she	conosce	ha conosciuto	conosceva	conoscerà	conoscerebbe
conoscere	to know	we	conosciamo	abbiamo conosciuto	conoscevamo	conosceremo	conosceremmo
conoscere	to know	you (plural)	conoscete	avete conosciuto	conoscevate	conoscerete	conoscereste
conoscere	to know	they	conoscono	hanno conosciuto	conoscevano	conosceranno	conoscerebbero
dare	to give	I	do	ho dato	davo	darò	darei
dare	to give	you	dai	hai dato	davi	darai	daresti
dare	to give	he/she	dà	ha dato	dava	darà	darebbe
dare	to give	we	diamo	abbiamo dato	davamo	daremo	daremmo
dare	to give	you (plural)	date	avete dato	davate	darete	dareste
dare	to give	they	danno	hanno dato	davano	daranno	darebbero
dire	to say	I	dico	ho detto	dicevo	dirò	direi
dire	to say	you	dici	hai detto	dicevi	dirai	diresti
dire	to say	he/she	dice	ha detto	diceva	dirà	direbbe
dire	to say	we	diciamo	abbiamo detto	dicevamo	diremo	diremmo
dire	to say	you (plural)	dite	avete detto	dicevate	direte	direste
dire	to say	they	dicono	hanno detto	dicevano	diranno	direbbero
dovere	must, have to, to owe	I	devo	ho dovuto	dovevo	dovrò	dovrei
dovere	must, have to, to owe	you	devi	hai dovuto	dovevi	dovrai	dovresti
dovere	must, have to, to owe	he/she	deve	ha dovuto	doveva	dovrà	dovrebbe
dovere	must, have to, to owe	we	dobbiamo	abbiamo dovuto	dovevamo	dovremo	dovremmo
dovere	must, have to, to owe	you (plural)	dovete	avete dovuto	dovevate	dovrete	dovreste
dovere	must, have to, to owe	they	devono	hanno dovuto	dovevano	dovranno	dovrebbero
essere	to be	I	sono	sono stato/a	ero	sarò	sarei
essere	to be	you	sei	sei stato/a	eri	sarai	saresti
essere	to be	he/she	è	è stato/a	era	sarà	sarebbe
essere	to be	we	siamo	siamo stati/e	eravamo	saremo	saremmo
essere	to be	you (plural)	siete	siete stati/e	eravate	sarete	sareste
essere	to be	they	sono	sono stati/e	erano	saranno	sarebbero
fare	to do	I	faccio	ho fatto	facevo	farò	farei
fare	to do	you	fai	hai fatto	facevi	farai	faresti
fare	to do	he/she	fa	ha fatto	faceva	farà	farebbe
fare	to do	we	facciamo	abbiamo fatto	facevamo	faremo	faremmo
fare	to do	you (plural)	fate	avete fatto	facevate	farete	fareste
fare	to do	they	fanno	hanno fatto	facevano	faranno	farebbero
finire	to end	I	finisco	ho finito	finivo	finirò	finirei
finire	to end	you	finisci	hai finito	finivi	finirai	finiresti
finire	to end	he/she	finisce	ha finito	finiva	finirà	finirebbe
finire	to end	we	finiamo	abbiamo finito	finivamo	finiremo	finiremmo
finire	to end	you (plural)	finite	avete finito	finivate	finirete	finireste
finire	to end	they	finiscono	hanno finito	finivano	finiranno	finirebbero
guardare	to watch	I	guardo	ho guardato	guardavo	guarderò	guarderei
guardare	to watch	you	guardi	hai guardato	guardavi	guarderai	guarderesti
guardare	to watch	he/she	guarda	ha guardato	guardava	guarderà	guarderebbe
guardare	to watch	we	guardiamo	abbiamo guardato	guardavamo	guarderemo	guarderemmo
guardare	to watch	you (plural)	guardate	avete guardato	guardavate	guarderete	guardereste
guardare	to watch	they	guardano	hanno guardato	guardavano	guarderanno	guarderebbero
mangiare	to eat	I	mangio	ho mangiato	mangiavo	mangerò	mangerei
mangiare	to eat	you	mangi	hai mangiato	mangiavi	mangerai	mangeresti
mangiare	to eat	he/she	mangia	ha mangiato	mangiava	mangerà	mangerebbe
mangiare	to eat	we	mangiamo	abbiamo mangiato	mangiavamo	mangeremo	mangeremmo
mangiare	to eat	you (plural)	mangiate	avete mangiato	mangiavate	mangerete	mangereste
mangiare	to eat	they	mangiano	hanno mangiato	mangiavano	mangeranno	mangerebbero
mettere	to put	I	metto	ho messo	mettevo	metterò	metterei
mettere	to put	you	metti	hai messo	mettevi	metterai	metteresti
mettere	to put	he/she	mette	ha messo	metteva	metterà	metterebbe
mettere	to put	we	mettiamo	abbiamo messo	mettevamo	metteremo	metteremmo
mettere	to put	you (plural)	mettete	avete messo	mettevate	metterete	mettereste
mettere	to put	they	mettono	hanno messo	mettevano	metteranno	metterebbero
parlare	to speak	I	parlo	ho parlato	parlavo	parlerò	parlerei
parlare	to speak	you	parli	hai parlato	parlavi	parlerai	parleresti
parlare	to speak	he/she	parla	ha parlato	parlava	parlerà	parlerebbe
parlare	to speak	we	parliamo	abbiamo parlato	parlavamo	parleremo	parleremmo
parlare	to speak	you (plural)	parlate	avete parlato	parlavate	parlerete	parlereste
parlare	to speak	they	parlano	hanno parlato	parlavano	parleranno	parlerebbero
potere	can, may, to be able to	I	posso	ho potuto	potevo	potrò	potrei
potere	can, may, to be able to	you	puoi	hai potuto	potevi	potrai	potresti
potere	can, may, to be able to	he/she	può	ha potuto	poteva	potrà	potrebbe
potere	can, may, to be able to	we	possiamo	abbiamo potuto	potevamo	potremo	potremmo
potere	can, may, to be able to	you (plural)	potete	avete potuto	potevate	potrete	potreste
potere	can, may, to be able to	they	possono	hanno potuto	potevano	potranno	potrebbero
prendere	to take	I	prendo	ho preso	prendevo	prenderò	prenderei
prendere	to take	you	prendi	hai preso	prendevi	prenderai	prenderesti
prendere	to take	he/she	prende	ha preso	prendeva	prenderà	prenderebbe
prendere	to take	we	prendiamo	abbiamo preso	prendevamo	prenderemo	prenderemmo
prendere	to take	you (plural)	prendete	avete preso	prendevate	prenderete	prendereste
prendere	to take	they	prendono	hanno preso	prendevano	prenderanno	prenderebbero
sapere	to know	I	so	ho saputo	sapevo	saprò	saprei
sapere	to know	you	sai	hai saputo	sapevi	saprai	sapresti
sapere	to know	he/she	sa	ha saputo	sapeva	saprà	saprebbe
sapere	to know	we	sappiamo	abbiamo saputo	sapevamo	sapremo	sapremmo
sapere	to know	you (plural)	sapete	avete saputo	sapevate	saprete	sapreste
sapere	to know	they	sanno	hanno saputo	sapevano	sapranno	saprebbero
sentire	to hear, to feel, to smell, to taste	I	sento	ho sentito	sentivo	sentirò	sentirei
sentire	to hear, to feel, to smell, to taste	you	senti	hai sentito	sentivi	sentirai	sentiresti
sentire	to hear, to feel, to smell, to taste	he/she	sente	ha sentito	sentiva	sentirà	sentirebbe
sentire	to hear, to feel, to smell, to taste	we	sentiamo	abbiamo sentito	sentivamo	sentiremo	sentiremmo
sentire	to hear, to feel, to smell, to taste	you (plural)	sentite	avete sentito	sentivate	sentirete	sentireste
sentire	to hear, to feel, to smell, to taste	they	sentono	hanno sentito	sentivano	sentiranno	sentirebbero
stare	to stay, to be	I	sto	sono stato/a	stavo	starò	starei
stare	to stay, to be	you	stai	sei stato/a	stavi	starai	staresti
stare	to stay, to be	he/she	sta	è stato/a	stava	starà	starebbe
stare	to stay, to be	we	stiamo	siamo stati/e	stavamo	staremo	staremmo
stare	to stay, to be	you (plural)	state	siete stati/e	stavate	starete	stareste
stare	to stay, to be	they	stanno	sono stati/e	stavano	staranno	starebbero
trovare	to find	I	trovo	ho trovato	trovavo	troverò	troverei
trovare	to find	you	trovi	hai trovato	trovavi	troverai	troveresti
trovare	to find	he/she	trova	ha trovato	trovava	troverà	troverebbe
trovare	to find	we	troviamo	abbiamo trovato	trovavamo	troveremo	troveremmo
trovare	to find	you (plural)	trovate	avete trovato	trovavate	troverete	trovereste
trovare	to find	they	trovano	hanno trovato	trovavano	troveranno	troverebbero
uscire	to go out	I	esco	sono uscito/a	uscivo	uscirò	uscirei
uscire	to go out	you	esci	sei uscito/a	uscivi	uscirai	usciresti
uscire	to go out	he/she	esce	è uscito/a	usciva	uscirà	uscirebbe
uscire	to go out	we	usciamo	siamo usciti/e	uscivamo	usciremo	usciremmo
uscire	to go out	you (plural)	uscite	siete usciti/e	uscivate	uscirete	uscireste
uscire	to go out	they	escono	sono usciti/e	uscivano	usciranno	uscirebbero
vedere	to see	I	vedo	ho visto	vedevo	vedrò	vedrei
vedere	to see	you	vedi	hai visto	vedevi	vedrai	vedresti
vedere	to see	he/she	vede	ha visto	vedeva	vedrà	vedrebbe
vedere	to see	we	vediamo	abbiamo visto	vedevamo	vedremo	vedremmo
vedere	to see	you (plural)	vedete	avete visto	vedevate	vedrete	vedreste
vedere	to see	they	vedono	hanno visto	vedevano	vedranno	vedrebbero
venire	to come	I	vengo	sono venuto/a	venivo	verrò	verrei
venire	to come	you	vieni	sei venuto/a	venivi	verrai	verresti
venire	to come	he/she	viene	è venuto/a	veniva	verrà	verrebbe
venire	to come	we	veniamo	siamo venuti/e	venivamo	verremo	verremmo
venire	to come	you (plural)	venite	siete venuti/e	venivate	verrete	verreste
venire	to come	they	vengono	sono venuti/e	venivano	verranno	verrebbero
volere	to want	I	voglio	ho voluto	volevo	vorrò	vorrei
volere	to want	you	vuoi	hai voluto	volevi	vorrai	vorresti
volere	to want	he/she	vuole	ha voluto	voleva	vorrà	vorrebbe
volere	to want	we	vogliamo	abbiamo voluto	volevamo	vorremo	vorremmo
volere	to want	you (plural)	volete	avete voluto	volevate	vorrete	vorreste
volere	to want	they	vogliono	hanno voluto	volevano	vorranno	vorrebbero
